ordem;nivel;cod_dim2;Zona Geográfica;População residente - Total;População residente - H;População residente - M;População presente - Total;População presente - H;População presente - M;Famílias - Clássicas ;Famílias - Institucionais;Núcleos familiares ;Alojamentos familiares - Total ;Alojamentos familiares - Clássicos;Alojamentos familiares - Não clássicos;Alojamentos colectivos;Edifícios clássicos
254584000;5;213;                    Serpa;15623;7632;7991;14969;7294;7675;6122;7;4754;10356;10319;37;31;9751
254585000;6;21301;                        Aldeia Nova de São Bento;3072;1499;1573;2911;1415;1496;1168;1;920;2080;2076;4;2;2025
254722000;6;21302;                        Brinches;1039;500;539;1012;488;524;439;1;316;870;869;1;1;840
254804000;6;21303;                        Pias;2852;1399;1453;2773;1349;1424;1120;2;846;2029;2012;17;4;1934
254924000;6;21304;                        Serpa (Salvador);4365;2117;2248;4166;2018;2148;1655;3;1318;2549;2539;10;15;2200
255084000;6;21305;                        Serpa (Santa Maria);1868;902;966;1790;871;919;757;0;564;1245;1241;4;5;1215
255164000;6;21306;                        Vale de Vargo;968;477;491;931;460;471;403;0;308;636;635;1;0;633
255233000;6;21307;                        Vila Verde de Ficalho;1459;738;721;1386;693;693;580;0;482;947;947;0;4;904
255302000;5;214;                    Vidigueira;5932;2917;3015;5766;2833;2933;2346;2;1803;3880;3858;22;16;3679
255303000;6;21401;                        Pedrógão;1151;586;565;1128;576;552;507;0;363;939;938;1;4;936
255424000;6;21402;                        Selmes;894;444;450;878;435;443;365;0;274;681;681;0;1;674
255516000;6;21403;                        Vidigueira;2959;1439;1520;2850;1380;1470;1110;2;882;1699;1682;17;9;1511
255651000;6;21404;                        Vila de Frades;928;448;480;910;442;468;364;0;284;561;557;4;2;558
255711000;4;185;                Lezíria do Tejo;247453;119148;128305;238478;113465;125013;97405;159;77035;137441;137204;237;275;107108
255712000;5;1103;                    Azambuja;21814;11031;10783;21097;10587;10510;8197;19;6550;11918;11913;5;19;9489
255713000;6;110301;                        Alcoentre;3448;2172;1276;3347;2105;1242;1003;12;786;1740;1739;1;5;1579
255820000;6;110302;                        Aveiras de Baixo;1317;632;685;1287;615;672;524;1;410;750;749;1;1;646
255867000;6;110303;                        Aveiras de Cima;4762;2282;2480;4612;2190;2422;1794;2;1482;2453;2451;2;5;2189
255964000;6;110304;                        Azambuja;8190;3954;4236;7879;3756;4123;3117;4;2542;4192;4192;0;8;2427
256113000;6;110305;                        Manique do Intendente;1216;592;624;1157;563;594;532;0;402;888;888;0;0;869
256179000;6;110306;                        Vale do Paraíso;880;420;460;852;406;446;367;0;286;512;512;0;0;487
256206000;6;110307;                        Vila Nova da Rainha;926;456;470;911;444;467;372;0;298;474;473;1;0;397
256229000;6;110308;                        Vila Nova de São Pedro;687;345;342;676;336;340;304;0;220;586;586;0;0;574
256273000;6;110309;                        Maçussa;388;178;210;376;172;204;184;0;124;323;323;0;0;321
256309000;5;1403;                    Almeirim;23376;11100;12276;22253;10453;11800;9345;11;7437;12216;12196;20;16;9358
256310000;6;140301;                        Almeirim;12812;6022;6790;12091;5625;6466;5191;6;3998;6894;6888;6;10;4355
256520000;6;140302;                        Benfica do Ribatejo;3067;1490;1577;2954;1421;1533;1189;1;989;1637;1635;2;2;1544
256613000;6;140303;                        Fazendas de Almeirim;6949;3328;3621;6675;3154;3521;2738;4;2270;3326;3314;12;4;3102
256745000;6;140304;                        Raposa;548;260;288;533;253;280;227;0;180;359;359;0;0;357
256775000;5;1404;                    Alpiarça;7702;3699;4003;7389;3497;3892;3003;3;2438;4049;4048;1;7;3473
256776000;6;140401;                        Alpiarça;7702;3699;4003;7389;3497;3892;3003;3;2438;4049;4048;1;7;3473
256949000;5;1405;                    Benavente;29019;14166;14853;27830;13375;14455;10963;9;8993;14728;14707;21;20;9547
256950000;6;140501;                        Benavente;9174;4443;4731;8820;4218;4602;3553;4;2854;4814;4804;10;9;3092
257152000;6;140502;                        Samora Correia;17123;8360;8763;16369;7854;8515;6366;5;5320;8240;8231;9;10;4833
257433000;6;140503;                        Santo Estêvão;1997;992;1005;1934;944;990;767;0;595;1298;1297;1;1;1268
257516000;6;140504;                        Barrosa;725;371;354;707;359;348;277;0;224;376;375;1;0;354
257535000;5;1406;                    Cartaxo;24462;11844;12618;23447;11217;12230;9574;16;7647;13331;13313;18;21;10007
257536000;6;140601;                        Cartaxo;11370;5422;5948;10821;5087;5734;4560;7;3520;6070;6066;4;9;3230
257769000;6;140602;                        Ereira;636;310;326;630;305;325;254;1;200;436;436;0;1;437
257796000;6;140603;                        Lapa;1200;576;624;1158;550;608;465;1;370;616;615;1;2;567
257833000;6;140604;                        Pontével;4614;2249;2365;4452;2158;2294;1724;5;1470;2492;2489;3;6;2331
257963000;6;140605;                        Valada;821;417;404;829;420;409;340;0;260;647;647;0;0;634
258002000;6;140606;                        Vale da Pinta;1295;660;635;1227;610;617;508;0;418;765;764;1;1;734
258049000;6;140607;                        Vila Chã de Ourique;2771;1353;1418;2643;1266;1377;1060;0;870;1394;1390;4;0;1293
258128000;6;140608;                        Vale da Pedra;1755;857;898;1687;821;866;663;2;539;911;906;5;2;781
258171000;5;1407;                    Chamusca;10120;4878;5242;9762;4664;5098;4167;5;3222;6222;6217;5;13;5804
258172000;6;140701;                        Chamusca;3360;1603;1757;3248;1538;1710;1372;3;1050;1926;1925;1;8;1603
258267000;6;140702;                        Chouto;577;288;289;556;275;281;261;0;190;544;543;1;0;542
258304000;6;140703;                        Pinheiro Grande;939;460;479;895;432;463;379;0;290;538;537;1;2;527
258338000;6;140704;                        Ulme;1277;621;656;1250;599;651;518;0;418;757;757;0;0;729
258373000;6;140705;                        Vale de Cavalos;1032;485;547;984;459;525;435;0;345;724;722;2;0;704
