ordem;nivel;cod_dim2;Zona Geográfica;População residente - Total;População residente - H;População residente - M;População presente - Total;População presente - H;População presente - M;Famílias - Clássicas ;Famílias - Institucionais;Núcleos familiares ;Alojamentos familiares - Total ;Alojamentos familiares - Clássicos;Alojamentos familiares - Não clássicos;Alojamentos colectivos;Edifícios clássicos
165474000;6;50709;                        Pedrógão de São Pedro;500;243;257;484;236;248;242;0;165;498;498;0;0;498
165517000;6;50710;                        Penamacor;1577;752;825;1474;695;779;630;3;472;1412;1412;0;10;1272
165601000;6;50711;                        Salvador;476;237;239;466;231;235;231;0;150;557;557;0;0;556
165627000;6;50712;                        Vale da Senhora da Póvoa;257;116;141;250;115;135;136;0;81;365;365;0;0;365
165644000;5;511;                    Vila Velha de Ródão;3521;1644;1877;3511;1619;1892;1560;7;1099;3410;3407;3;13;3367
165645000;6;51101;                        Fratel;608;284;324;586;272;314;289;2;185;848;848;0;3;849
165751000;6;51102;                        Perais;510;247;263;508;244;264;250;0;177;488;487;1;0;474
165810000;6;51103;                        Sarnadas de Ródão;637;289;348;620;281;339;254;2;179;559;557;2;2;555
165879000;6;51104;                        Vila Velha de Ródão;1766;824;942;1797;822;975;767;3;558;1515;1515;0;8;1489
166029000;4;16A;                Cova da Beira;87869;42025;45844;87679;41730;45949;35964;55;27356;62159;62120;39;139;44461
166030000;5;501;                    Belmonte;6859;3294;3565;6631;3160;3471;2749;3;2167;4928;4926;2;9;4210
166031000;6;50101;                        Belmonte;3183;1497;1686;3067;1436;1631;1193;3;963;2063;2062;1;6;1512
166160000;6;50102;                        Caria;1921;937;984;1842;890;952;807;0;639;1424;1423;1;3;1303
166278000;6;50103;                        Colmeal da Torre;729;358;371;707;341;366;289;0;231;512;512;0;0;485
166322000;6;50104;                        Inguias;670;336;334;660;330;330;296;0;223;618;618;0;0;603
166385000;6;50105;                        Maçainhas;356;166;190;355;163;192;164;0;111;311;311;0;0;307
166426000;5;503;                    Covilhã;51797;24725;27072;52941;25165;27776;21220;36;16098;35227;35213;14;76;22083
166427000;6;50301;                        Vila do Carvalho;1741;853;888;1657;805;852;707;1;553;1093;1093;0;1;793
166480000;6;50302;                        Aldeia de São Francisco de Assis;632;303;329;578;278;300;266;1;191;504;504;0;2;506
166535000;6;50303;                        Aldeia do Souto;240;111;129;231;105;126;97;2;73;198;198;0;3;197
166558000;6;50304;                        Barco;473;211;262;468;207;261;202;1;147;457;457;0;1;441
166599000;6;50305;                        Boidobra;3246;1606;1640;3183;1570;1613;1251;1;1021;1622;1622;0;3;938
166663000;6;50306;                        Casegas;425;179;246;395;162;233;197;2;120;578;577;1;2;578
166712000;6;50307;                        Covilhã (Conceição);7175;3382;3793;7513;3528;3985;3070;0;2293;4511;4509;2;8;1450
166829000;6;50308;                        Cortes do Meio;884;430;454;865;414;451;357;1;265;1077;1077;0;6;961
166904000;6;50309;                        Dominguizo;1119;554;565;1073;531;542;443;2;352;682;682;0;3;510
166938000;6;50310;                        Erada;709;342;367;672;325;347;309;0;234;655;655;0;0;622
166999000;6;50311;                        Ferro;1700;816;884;1652;791;861;676;1;509;1173;1173;0;2;1085
167051000;6;50312;                        Orjais;806;386;420;782;372;410;332;0;268;532;532;0;1;491
167097000;6;50313;                        Ourondo;372;164;208;354;152;202;154;1;104;356;356;0;1;354
167140000;6;50314;                        Paul;1624;772;852;1551;728;823;651;2;497;1147;1147;0;3;1061
167219000;6;50315;                        Peraboa;953;440;513;952;433;519;374;1;287;616;615;1;1;587
167270000;6;50316;                        Peso;737;344;393;715;330;385;292;0;231;597;597;0;0;556
167306000;6;50317;                        Covilhã (Santa Maria);3220;1448;1772;3911;1759;2152;1408;5;911;2689;2689;0;7;583
167374000;6;50318;                        São Jorge da Beira;633;304;329;599;286;313;279;1;200;670;670;0;1;653
167412000;6;50319;                        Covilhã (São Martinho);4165;1960;2205;5590;2715;2875;1744;3;1260;2981;2980;1;11;1040
167475000;6;50320;                        Covilhã (São Pedro);2225;1056;1169;2162;1019;1143;884;4;660;1278;1278;0;7;587
167538000;6;50321;                        Sarzedo;130;59;71;127;58;69;67;0;39;232;232;0;0;232
167554000;6;50322;                        Sobral de São Miguel;418;190;228;398;183;215;197;1;115;492;492;0;1;490
167588000;6;50323;                        Teixoso;4360;2108;2252;4217;2023;2194;1739;1;1390;2386;2384;2;3;1533
167682000;6;50324;                        Tortosendo;5624;2742;2882;5362;2586;2776;2166;3;1752;3156;3156;0;3;1975
167790000;6;50325;                        Unhais da Serra;1398;672;726;1433;684;749;596;1;438;999;999;0;3;791
167833000;6;50326;                        Vale Formoso;574;270;304;560;261;299;228;0;190;496;495;1;0;481
167868000;6;50327;                        Verdelhos;664;329;335;637;311;326;280;1;198;790;790;0;2;763
167917000;6;50328;                        Vales do Rio;674;333;341;649;321;328;268;0;202;442;442;0;0;410
